session_id,user_id,timestamp,channel,hour_deviation,amount_deviation,typing_deviation,is_new_device,device_seen_in_history,recipient_known,pin_pasted,prior_session_count,cold_start,raw_amount,label,attack_type
0,714,2026-02-06 19:54:00,ussd,1.228,-0.003,,0,1,1,0,2,1,5137.91,0,none
1,222,2026-03-31 14:04:00,ussd,0.112,-0.36,,0,1,0,0,14,0,5584.64,0,none
2,1227,2026-03-02 22:47:00,app,2.011,-2.171,1.075,0,1,1,0,8,0,1294.64,0,none
3,1793,2026-06-26 10:37:00,ussd,0.127,-0.105,,0,1,1,0,25,0,1479.31,0,none
4,957,2026-02-28 05:42:00,app,3.558,0.452,0.705,0,1,1,0,6,0,73223.64,0,none
5,488,2026-02-01 01:59:00,app,2.363,-0.228,-0.254,0,1,1,0,2,1,3991.64,0,none
6,1690,2026-01-18 07:15:00,ussd,1.307,-0.209,,0,1,0,0,2,1,4079.82,0,none
7,481,2026-05-27 09:09:00,app,1.804,0.069,-1.162,0,1,1,0,15,0,8134.36,0,none
8,1288,2026-01-07 09:17:00,app,0.9,-0.546,-0.196,0,0,1,0,0,1,2795.05,0,none
9,756,2026-04-29 22:38:00,app,1.807,0.047,-0.23,0,1,0,0,14,0,1163.67,0,none
10,1065,2026-03-26 21:51:00,ussd,2.448,0.412,,0,1,1,0,12,0,7729.29,0,none
11,1610,2026-05-25 14:16:00,app,0.254,0.73,-0.573,0,1,1,0,18,0,4029.04,0,none
12,745,2026-01-10 09:33:00,app,0.846,0.559,0.962,0,1,1,0,2,1,9659.11,0,none
13,1803,2026-01-05 07:28:00,ussd,1.264,0.902,,0,1,1,0,1,1,14195.69,0,none
14,151,2026-05-12 15:55:00,ussd,1.056,0.654,,0,1,1,0,11,0,4686.06,0,none
15,1894,2026-01-21 23:59:00,app,2.046,-0.272,2.116,0,1,1,0,2,1,3798.73,0,none
16,966,2026-05-23 18:58:00,ussd,1.595,-0.332,,0,1,1,0,22,0,1949.81,0,none
17,1286,2026-01-04 15:38:00,app,0.373,-0.115,-0.347,0,0,0,0,0,1,4534.92,0,none
18,1801,2026-03-09 13:35:00,app,0.331,0.279,4.287,0,1,1,0,4,0,1483.03,0,none
19,723,2026-03-27 07:37:00,ussd,0.935,0.423,,0,1,1,0,13,0,28933.93,0,none
